80000
123XOOX8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-1,2799999/0,11/162
1X3XOOXOX/0,11/0,11/-2,895017/0,11/0,015000001/0,11/0,11/0,11/0,11/169
1X34OXO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/99,464714/0,11/9537
1X3XOXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/73,69604/3612
1XXXOXOOO/147,3143/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/7118
X23X56O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-5,815031/-5,8100333/730
X2XXO6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,0650015/-2,0700014/205
X2XXOXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-2,7950146/149
X234OOX89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-20,044346/-20,044355/4932
1X34O6OX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/48,35705/4767
1X3XO6OXO/0,11/0,11/0,11/0,11/0,015000001/48,52224/0,11/0,11/0,11/2518
1XXXOOOXO/216,1801/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/10697
12345678X/0,015000001/0,015000001/120,31036/0,11/0,015000001/0,015000001/0,015000001/0,015000001/0,11/27539
1234OX78X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,015000001/0,11/0,11/1
1234OXO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/48,46217/0,11/4832
X234OXOOX/0,11/25,42913/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1230
123456X89/0,11/0,11/0,11/0,11/0,205/0,11/0,11/-180,03804/-180,03804/27791
1234O6XX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,205/1
12X4O6XXO/0,11/0,11/0,11/0,11/0,015000001/14,900061/0,11/0,11/0,11/618
X2X4OOXXO/0,11/0,11/0,11/20,254389/0,015000001/0,11/0,11/0,11/0,11/915
12345XX8O/0,11/0,11/0,11/0,11/0,205/0,11/0,11/-49,557064/0,11/3366
123XOXX8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-1,0799999/0,11/138
12XXOXXOO/52,462433/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2694
1X345O78X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/3
1X34OOX8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2
XX34OOXOX/0,11/0,11/0,015000001/0,205/0,015000001/0,11/0,11/0,11/0,11/2
X2X4OO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-26,913982/-26,918997/-26,918997/9655
X2XXOOO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,040000033/-0,12499998/6149
X2XXOOOOX/0,11/228,89668/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/13076
1XOXO678X/0,11/0,11/0,11/0,11/0,015000001/0,015000001/32,993774/0,11/0,11/2114
1XOXOOX8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,015000001/0,11/1
12345XXO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-41,636707/2908
X234OXXO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-0,08/2
1234O6X89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-73,2215/-73,21655/29025
1234OXXO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/11,260054/2378
12X4OXXOO/0,11/0,11/0,11/2,6250017/0,015000001/0,11/0,11/0,11/0,11/2441
X2XOOXXOO/0,11/26,819126/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1238
123X567XO/0,11/0,11/0,11/0,11/-0,84000003/-0,84000003/0,4849999/0,11/0,11/4661
1X3XO67XO/0,11/0,11/0,11/0,11/0,015000001/-1,9800001/-1,98/0,11/0,11/494
XX3XOO7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/-5,7100096/0,11/0,11/156
1234O67X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/434,76797/29021
1234O6XXO/0,11/0,11/0,11/0,11/0,015000001/141,73512/0,11/0,11/0,11/7268
1X34OOXXO/0,11/0,11/59,482845/0,11/0,015000001/0,11/0,11/0,11/0,11/3072
123X56O8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-6,38002/0,11/749
12XXO6O8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-3,5750132/0,11/143
123X5OXXO/0,11/0,11/0,11/0,11/10,420044/0,11/0,11/0,11/0,11/1426
1X3XOOXXO/0,11/0,11/26,999172/0,11/0,015000001/0,11/0,11/0,11/0,11/1184
1X345X78O/0,11/0,11/0,11/0,11/0,205/0,11/-11,030048/-11,02505/0,11/1332
1X3XOX78O/0,11/0,11/0,11/0,11/0,015000001/0,11/-0,30999985/-0,30499995/0,11/103
1X3XOXOXO/0,11/0,11/39,126183/0,11/0,015000001/0,11/0,11/0,11/0,11/2043
1234XO7X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-3,4150245/1173
123XOOXXO/90,36437/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/4751
X23456789/0,11/0,015000001/69,80501/0,11/0,015000001/0,015000001/0,015000001/0,015000001/0,015000001/27745
X234O67X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,015000001/1
X234OX7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/-0,175/0,11/0,11/3
X2X4OXOXO/0,11/0,11/0,11/-13,1000595/0,015000001/0,11/0,11/0,11/0,11/644
XX34OXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,6350002/2991
XX3XOXOOO/0,11/0,11/151,74586/0,11/0,015000001/0,11/0,11/0,11/0,11/7247
12X4O6XO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-32,44885/2368
12XXO6XOO/0,11/0,11/0,11/0,11/0,015000001/-47,142197/0,11/0,11/0,11/2484
12X4O67XO/0,11/0,11/0,11/0,11/0,015000001/0,015000001/48,647133/0,11/0,11/4768
1XX4OO7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/1,5800002/0,11/0,11/2694
XX34O6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-10,130046/-10,160042/4810
X23456X8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-38,26099/0,11/1983
XX34O6X8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-0,08/0,11/2
1X34567OX/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1
1XX4O67OX/0,11/0,11/0,11/0,11/0,015000001/-0,41999984/-0,41499984/0,11/0,11/79
1XXXOO7OX/0,11/0,11/0,11/0,11/0,015000001/0,11/-5,265023/0,11/0,11/247
1234OO7XX/0,11/0,11/0,11/0,11/0,015000001/0,11/97,38957/0,11/0,11/4788
123XOOOXX/71,607605/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/3590
OX3XOOOXX/0,11/0,11/35,605095/0,11/0,015000001/0,11/0,11/0,11/0,11/1735
1X3X567O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-11,930048/555
1XXXO67O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-4,7000194/206
1XXXOX7OO/0,11/0,11/0,11/0,11/0,015000001/0,11/-7,5450277/0,11/0,11/343
XX345XO8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-11,670055/0,11/629
1X34OO78X/0,11/0,11/0,11/0,11/0,015000001/0,11/53,5972/0,11/0,11/4807
1X34OOOXX/0,11/0,11/51,572147/0,11/0,015000001/0,11/0,11/0,11/0,11/2426
12X45O7X9/0,11/0,11/0,11/0,11/0,205/0,11/0,11/0,11/-2,405009/622
12X4OOXX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,205/1
1XX4OOXXO/0,11/0,11/0,11/27,909096/0,015000001/0,11/0,11/0,11/0,11/1276
X23X5678O/0,11/0,11/0,11/0,11/-2,8750186/-2,8750143/-2,8750143/-2,8750143/0,11/716
X2XXO678O/0,11/0,11/0,11/0,11/0,015000001/-2,6950102/-2,6950123/-2,6900122/0,11/368
123XOO7X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/95,16962/4740
X23XOO7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/95,79938/0,11/0,11/4830
X2XXOOOXO/0,11/263,9364/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/11338
1234X6O8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-13,895062/0,11/1009
1X34X6OOX/0,11/0,11/0,11/0,11/0,015000001/-7,8850307/0,11/0,11/0,11/375
1X3XXOOOX/0,11/0,11/-17,389826/0,11/0,015000001/0,11/0,11/0,11/0,11/872
1X3XOO789/0,11/0,11/0,11/0,11/0,015000001/0,11/44,992172/0,015000001/-0,07999998/4843
12345X7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/46,757187/0,11/0,11/5398
1X34OXOXO/0,11/0,11/67,855316/0,11/0,015000001/0,11/0,11/0,11/0,11/3451
12X45O78X/0,11/0,11/0,11/0,11/0,205/0,11/-2,2000048/-2,2000048/0,11/593
12XXOO78X/0,11/0,11/0,11/0,11/0,015000001/0,11/-0,9849998/-0,97499955/0,11/440
12XXOOOXX/4,4900227/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/228
1X34567XO/0,11/0,11/26,698627/-0,08/-0,17499995/-0,175/-0,175/0,11/0,11/4009
XX34O67XO/0,11/0,11/0,11/0,11/0,015000001/-1,0300001/-1,0300001/0,11/0,11/52
XX3XO6OO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,6400001/522
12XXOOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/140,84398/0,11/7176
X23X5O789/0,11/0,11/0,11/0,11/0,015000001/0,11/-3,5350187/-3,5350187/-3,5300207/709
1X3XO6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,015000001/47,067062/4758
1XXXO6OO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/1,0900003/642
X234OXXOO/0,11/47,55709/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2379
123X5XOXO/0,11/0,11/0,11/0,11/55,06774/0,11/0,11/0,11/0,11/2981
12XXOXOXO/45,126953/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2253
1234X67XO/0,11/0,11/0,11/0,11/0,015000001/-8,655044/-8,670036/0,11/0,11/4871
123XXO7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/8,5800295/0,11/0,11/1118
X23XXOOXO/0,11/41,811874/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2184
1234OOX8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/95,49922/0,11/4878
123XOOXOX/47,617104/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2391
O2XXOOXOX/0,11/23,079205/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1138
X23456XO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-39,36635/2062
12X4OO7X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/45,122047/4824
12X4OOXXO/0,11/0,11/0,11/71,75758/0,015000001/0,11/0,11/0,11/0,11/3674
O234X678X/0,11/0,11/0,11/0,11/0,015000001/0,015000001/0,11/0,11/0,11/1
O234XOX8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,015000001/0,11/1
O23XXOXOX/0,11/0,015000001/4,6650205/0,11/0,015000001/0,11/0,11/0,11/0,11/210
1X3XO6OX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-0,5599999/68
XX3XO6OXO/0,11/0,11/0,11/0,11/0,015000001/-17,719759/0,11/0,11/0,11/830
1XX4O6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-13,68506/-13,680056/4719
1O345X78X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1
XO34OX78X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,015000001/0,11/0,11/1
X2345XXOO/0,11/-8,235034/-8,245034/-8,245034/-8,245036/0,11/0,11/0,11/0,11/2388
1XX4OO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-12,990059/-13,015059/-13,015059/4688
X234567XO/0,11/-0,08/55,857872/0,015000001/0,015000001/0,015000001/0,015000001/0,11/0,11/3947
12O4567XX/0,11/0,11/0,11/0,11/49,39712/0,11/0,11/0,11/0,11/3893
1XO4O67XX/0,11/0,11/0,11/0,11/0,015000001/6,9600496/0,11/0,11/0,11/1266
1XOXOO7XX/0,11/0,11/0,11/0,11/0,015000001/0,11/6,9700427/0,11/0,11/436
12X4XO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-9,460035/-9,460038/-9,455038/1829
X2XXXOOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-3,3650148/155
123X5OX89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-5,9850254/-5,9950233/697
123XOOXX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,015000001/1
X23XO67O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-0,07999998/8
X23XOX7OO/0,11/0,11/0,11/0,11/0,015000001/0,11/0,96500015/0,11/0,11/9
12X4567XO/0,11/0,11/0,11/-3,615029/-3,610014/-3,615014/-3,615014/0,11/0,11/4517
12XXOOXXO/35,605278/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1519
XX3456O89/0,11/0,11/0,11/0,11/0,205/0,11/0,11/0,015000001/0,11/2
XX34O6OX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2
XX34OXOXO/0,11/0,11/4,2750244/0,11/0,015000001/0,11/0,11/0,11/0,11/239
X234O67XO/0,11/0,11/0,11/0,11/0,015000001/46,017105/0,11/0,11/0,11/4853
XX3XOOOXO/0,11/0,11/233,3908/0,11/0,015000001/0,11/0,11/0,11/0,11/10971
1X3X56O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-6,8450284/-6,845031/743
XX3XO6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,0150003/-2,0100002/165
XX3XO6OOX/0,11/0,11/0,11/0,11/0,015000001/-6,530026/0,11/0,11/0,11/302
123XOXOOX/0,015000001/48,602142/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2427
123XX67O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-26,02904/1340
123XO6XO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-25,914104/2443
1234OX7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/98,01944/0,11/0,11/4842
1X3X5O7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/-5,1100245/0,11/0,11/253
1XXXO6O8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/2,1999962/0,11/1744
X234X67O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-15,445083/825
